noise_type,noise_intensity,diffusion_type,diffusion_constant_xx,diffusion_constant_xy,diffusion_constant_yy,spatial_correlation,temporal_correlation,linear_cross_correlation_mean,linear_cross_correlation_std
white,0.05,anisotropic,1.5,0.0,0.0,0,0,"[0.29594777 0.19355282 0.17829614 0.16352244 0.14703461 0.0967676
 0.05172651 0.00521293]","[0.00269921 0.00303918 0.00318394 0.0033428  0.00353872 0.00383816
 0.00414024 0.00447861]"
white,0.1,anisotropic,1.5,0.0,0.0,0,0,"[0.2949744  0.19295216 0.17777074 0.16306992 0.14666343 0.09670504
 0.05194048 0.00571248]","[0.00258988 0.00301612 0.00312061 0.00323719 0.00338325 0.00366504
 0.00395572 0.00428574]"
white,0.16,anisotropic,1.5,0.0,0.0,0,0,"[0.30828055 0.20206879 0.18630485 0.17103996 0.15400394 0.10213795
 0.0556641  0.00767092]","[0.02112953 0.0126806  0.01243409 0.01222678 0.01203389 0.01131895
 0.01098687 0.01097973]"
white,0.2,anisotropic,1.5,0.0,0.0,0,0,"[0.37801636 0.25133754 0.23149232 0.21227534 0.19082871 0.12603307
 0.06797377 0.0080164 ]","[0.01977449 0.01209171 0.01201924 0.0120011  0.01204158 0.01236482
 0.01296131 0.01384088]"
white,0.24,anisotropic,1.5,0.0,0.0,0,0,"[0.4108073  0.27385216 0.25215631 0.2311473  0.2077007  0.13697785
 0.07360756 0.00816557]","[0.00977105 0.00773891 0.0080144  0.00829654 0.00862742 0.00950584
 0.01033034 0.01121032]"
white,0.28,anisotropic,1.5,0.0,0.0,0,0,"[0.41921646 0.27882258 0.25649573 0.23487569 0.21074718 0.13827085
 0.07332938 0.00626484]","[0.00574682 0.00608874 0.00635118 0.00661955 0.00693357 0.00766455
 0.00834457 0.00906578]"
white,0.32,anisotropic,1.5,0.0,0.0,0,0,"[0.42350358 0.28161289 0.25914358 0.23738558 0.21310311 0.13996607
 0.07443259 0.00675667]","[0.0053793  0.00632861 0.00660716 0.00689132 0.00722316 0.00804994
 0.00881059 0.00961089]"
white,0.36,anisotropic,1.5,0.0,0.0,0,0,"[0.42641924 0.28371378 0.26111651 0.23923461 0.21481385 0.1412849
 0.07540025 0.00736169]","[0.00500062 0.00641177 0.00667517 0.0069406  0.00724746 0.00803122
 0.00875055 0.00950628]"
white,0.5,anisotropic,1.5,0.0,0.0,0,0,"[0.42034396 0.27993309 0.25765463 0.23608144 0.21200522 0.13943734
 0.07441384 0.00726458]","[0.00467222 0.00522302 0.00544625 0.00567508 0.00594337 0.00661427
 0.00724211 0.00791035]"
white,0.75,anisotropic,1.5,0.0,0.0,0,0,"[0.39730493 0.26371413 0.24282714 0.22260138 0.20002891 0.13187859
 0.07081338 0.00775183]","[0.00440351 0.00475239 0.00489247 0.00504883 0.00524513 0.00582089
 0.00638423 0.00700116]"
white,1.0,anisotropic,1.5,0.0,0.0,0,0,"[0.37845957 0.2509122  0.23114962 0.21201267 0.19065535 0.12596511
 0.06800027 0.00814044]","[0.00475867 0.00495395 0.00514208 0.00533773 0.00556999 0.0060347
 0.00648932 0.00698896]"
white,0.05,anisotropic,1.25,0.0,0.25,0,0,"[0.32183648 0.23980861 0.23458048 0.22951786 0.22386785 0.19685672
 0.17265376 0.14765954]","[0.0028485  0.00295109 0.0029884  0.00303707 0.00310522 0.00317364
 0.00325427 0.00335525]"
white,0.1,anisotropic,1.25,0.0,0.25,0,0,"[0.31996233 0.23757032 0.2322651  0.22712782 0.2213945  0.19427351
 0.1699721  0.14487623]","[0.00240017 0.00259768 0.00265142 0.00271583 0.00280104 0.00288973
 0.00298972 0.0031113 ]"
white,0.16,anisotropic,1.25,0.0,0.25,0,0,"[0.32485259 0.2414366  0.23601138 0.23075791 0.2248949  0.1973832
 0.1727317  0.14727429]","[0.00268094 0.00284333 0.00290117 0.00297126 0.00306466 0.00312309
 0.00319668 0.00329227]"
white,0.2,anisotropic,1.25,0.0,0.25,0,0,"[0.33505317 0.2500529  0.24453633 0.2391944  0.23323267 0.20512299
 0.17993568 0.15392495]","[0.01119269 0.0110553  0.01112813 0.01120334 0.01129261 0.0112024
 0.01112733 0.01105565]"
white,0.24,anisotropic,1.25,0.0,0.25,0,0,"[0.4447882  0.36098955 0.35536673 0.34992192 0.34384537 0.315779
 0.29063049 0.26465982]","[0.07742226 0.08065063 0.08089645 0.0811594  0.08148152 0.08236944
 0.08319742 0.08408357]"
white,0.28,anisotropic,1.25,0.0,0.25,0,0,"[0.60165884 0.52559181 0.51992384 0.51443529 0.50830994 0.48151686
 0.45750927 0.43271682]","[0.02362603 0.02543707 0.02559966 0.02577583 0.02599373 0.02679871
 0.02755564 0.0283697 ]"
white,0.32,anisotropic,1.25,0.0,0.25,0,0,"[0.6430702  0.56835528 0.56250581 0.55684152 0.55052003 0.52323026
 0.49877761 0.47352556]","[0.01005253 0.01081612 0.01111361 0.01143219 0.01182016 0.01234758
 0.01285769 0.01341725]"
white,0.36,anisotropic,1.25,0.0,0.25,0,0,"[0.66814879 0.59823048 0.5925646  0.58707809 0.58095501 0.55466389
 0.53110607 0.5067781 ]","[0.00607079 0.00692865 0.00704397 0.0071915  0.00739517 0.00789234
 0.00838587 0.00893492]"
white,0.5,anisotropic,1.25,0.0,0.25,0,0,"[0.54270657 0.46196738 0.45593527 0.45009412 0.44357525 0.41546837
 0.39028357 0.36427542]","[0.01184213 0.01167404 0.01177008 0.01187827 0.01201614 0.01222603
 0.01244454 0.01269876]"
white,0.75,anisotropic,1.25,0.0,0.25,0,0,"[0.48248783 0.39639528 0.38968837 0.38319379 0.37594566 0.34518735
 0.31762677 0.28916518]","[0.00774139 0.00697048 0.00705521 0.00715269 0.00727865 0.00743556
 0.00760363 0.00780262]"
white,1.0,anisotropic,1.25,0.0,0.25,0,0,"[0.45406747 0.36652287 0.35962007 0.3529358  0.34547598 0.31375656
 0.28533479 0.25598385]","[0.00621989 0.00612853 0.00618177 0.00624833 0.00633947 0.00653843
 0.00674285 0.00697751]"
white,0.05,anisotropic,1.0,0.0,0.5,0,0,"[0.3267851  0.24084729 0.24214    0.24339179 0.24478881 0.22884107
 0.21455131 0.19979438]","[0.00270697 0.00285202 0.00285133 0.00286262 0.00288894 0.00292686
 0.00297622 0.00304169]"
white,0.1,anisotropic,1.0,0.0,0.5,0,0,"[0.32548849 0.23933462 0.24060356 0.24183233 0.24320366 0.22718375
 0.21282931 0.1980056 ]","[0.00280378 0.00296005 0.00298574 0.0030239  0.00308134 0.00308944
 0.00311104 0.00314728]"
white,0.16,anisotropic,1.0,0.0,0.5,0,0,"[0.33025558 0.24296584 0.24424027 0.24547435 0.24685162 0.2306003
 0.21603852 0.20100069]","[0.00278754 0.00298909 0.003013   0.00304836 0.00310149 0.00311513
 0.00314347 0.00318827]"
white,0.2,anisotropic,1.0,0.0,0.5,0,0,"[0.33960205 0.25136255 0.25267797 0.25395175 0.25537333 0.23889519
 0.22413017 0.20888246]","[0.02199931 0.02145263 0.0219234  0.02238099 0.02289354 0.02255548
 0.02225509 0.02194749]"
white,0.24,anisotropic,1.0,0.0,0.5,0,0,"[0.37152679 0.28153947 0.28270048 0.28382473 0.28507942 0.26874684
 0.25411224 0.2389992 ]","[0.05946947 0.06027878 0.05996828 0.05968141 0.05937752 0.06048401
 0.06149598 0.06256035]"
white,0.28,anisotropic,1.0,0.0,0.5,0,0,"[0.55441449 0.47186727 0.47275899 0.47362249 0.47458618 0.46014042
 0.44719649 0.4338294 ]","[0.0653968  0.07063194 0.07068845 0.07077451 0.07090684 0.07182217
 0.07267955 0.07360052]"
white,0.32,anisotropic,1.0,0.0,0.5,0,0,"[0.67426574 0.60484779 0.60580172 0.60672545 0.60775636 0.59433831
 0.58231525 0.56989913]","[0.01803334 0.01922817 0.01925231 0.01928985 0.01934808 0.01987407
 0.02036369 0.02088616]"
white,0.36,anisotropic,1.0,0.0,0.5,0,0,"[0.70945631 0.64408233 0.64507041 0.64602721 0.64709502 0.63388895
 0.62205582 0.60983585]","[0.00786017 0.00872763 0.00883684 0.0089814  0.00918557 0.00938587
 0.0096069  0.00987349]"
white,0.5,anisotropic,1.0,0.0,0.5,0,0,"[0.58163412 0.50605882 0.50693369 0.50778085 0.50872632 0.49443565
 0.48163068 0.46840709]","[0.01554115 0.01569911 0.01567358 0.01566665 0.0156796  0.01588906
 0.01609914 0.01633741]"
white,0.75,anisotropic,1.0,0.0,0.5,0,0,"[0.51956365 0.43837325 0.43913118 0.43986511 0.44068419 0.42456265
 0.41011715 0.39519941]","[0.00844203 0.00826508 0.00828289 0.00831411 0.00836499 0.00849453
 0.0086278  0.00878168]"
white,1.0,anisotropic,1.0,0.0,0.5,0,0,"[0.48860592 0.40467944 0.40550717 0.4063087  0.40720322 0.39014121
 0.37485301 0.35906502]","[0.00585945 0.00576297 0.00575207 0.00576081 0.00579287 0.00591422
 0.00604246 0.00619299]"
white,0.05,anisotropic,0.75,0.0,0.75,0,0,"[0.32784199 0.22721585 0.23475423 0.24205397 0.25020066 0.24204515
 0.2347375  0.22719096]","[0.00312644 0.00330713 0.00329    0.00328529 0.00329388 0.00330186
 0.00332138 0.00335357]"
white,0.1,anisotropic,0.75,0.0,0.75,0,0,"[0.32677917 0.22573953 0.23330908 0.240639   0.24881937 0.24062418
 0.23328099 0.22569773]","[0.00290032 0.00314193 0.00311308 0.00309747 0.00309461 0.00308989
 0.00309856 0.00312018]"
white,0.16,anisotropic,0.75,0.0,0.75,0,0,"[0.33128197 0.22905115 0.23667283 0.24405322 0.25228993 0.24404009
 0.23664792 0.22901409]","[0.00289112 0.00302548 0.00300558 0.00300001 0.00300979 0.00302265
 0.00304766 0.00308651]"
white,0.2,anisotropic,0.75,0.0,0.75,0,0,"[0.33842919 0.2351686  0.24289691 0.25038057 0.25873253 0.25038695
 0.242909   0.23518658]","[0.00339799 0.0035372  0.00352718 0.00352847 0.00354266 0.00351862
 0.00350961 0.00351282]"
white,0.24,anisotropic,0.75,0.0,0.75,0,0,"[0.35868571 0.25334767 0.26115088 0.26870707 0.27713996 0.26869297
 0.26112415 0.2533079 ]","[0.03186447 0.03122367 0.0312699  0.03132424 0.03139596 0.03137037
 0.03135441 0.03134484]"
white,0.28,anisotropic,0.75,0.0,0.75,0,0,"[0.51519809 0.41657624 0.42360078 0.43040295 0.43799433 0.43048665
 0.42375949 0.4168124 ]","[0.09053525 0.09904943 0.09833266 0.09765821 0.09692881 0.0976278
 0.09827577 0.09896598]"
white,0.32,anisotropic,0.75,0.0,0.75,0,0,"[0.67197002 0.59089599 0.59700575 0.60292209 0.60952487 0.60295955
 0.59707677 0.59100168]","[0.02285549 0.0260976  0.02581341 0.0255614  0.02530792 0.02559565
 0.02587346 0.02617951]"
white,0.36,anisotropic,0.75,0.0,0.75,0,0,"[0.71598694 0.64000032 0.64601669 0.6518426  0.65834446 0.65187981
 0.64608724 0.6401053 ]","[0.00926396 0.01081663 0.01063014 0.01048121 0.01035343 0.01042506
 0.01051929 0.01064558]"
white,0.5,anisotropic,0.75,0.0,0.75,0,0,"[0.59117719 0.50442522 0.51093272 0.51723421 0.52426683 0.51722678
 0.51091864 0.50440426]","[0.01478337 0.01530791 0.01531007 0.0153296  0.01537158 0.01535134
 0.01535273 0.01537353]"
white,0.75,anisotropic,0.75,0.0,0.75,0,0,"[0.52909517 0.43505904 0.44227378 0.44926013 0.45705706 0.44932099
 0.44238919 0.43523077]","[0.00789666 0.00817557 0.00812173 0.008085   0.00806216 0.00807547
 0.00810574 0.00815499]"
white,1.0,anisotropic,0.75,0.0,0.75,0,0,"[0.49724305 0.39983984 0.40733678 0.41459638 0.42269828 0.41459116
 0.40732687 0.3998251 ]","[0.00601885 0.00603283 0.00599751 0.00597898 0.00597672 0.00601229
 0.00606079 0.00612698]"
